 A.7 Taxa bruta de natalidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de nascidos vivos por 1.000 habitantes, por ano segundo Região e UF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:1991-2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Região e UF;1991;1991-Fonte;1992;1992-Fonte;1993;1993-Fonte;1994;1994-Fonte;1995;1995-Fonte;1996;1996-Fonte;1997;1997-Fonte;1998;1998-Fonte;1999-Bruta;1999-Padron;1999-Fonte;2000-Bruta;2000-Padron;2000-Fonte;2001-Bruta;2001-Padron;2001-Fonte;2002-Bruta;2002-Padron;2002-Fonte;2003-Bruta;2003-Padron;2003-Fonte;2004-Bruta;2004-Padron;2004-Fonte;2005-Bruta;2005-Padron;2005-Fonte;2006-Bruta;2006-Padron;2006-Fonte;2007-Bruta;2007-Padron;2007-Fonte;2008-Bruta;2008-Padron;2008-Fonte;2009-Bruta;2009-Padron;2009-Fonte;2010-Bruta;2010-Padron;2010-Fonte
 Distrito Federal ; 22,95 ; * ; 22,28 ; * ; 21,95 ; * ; 21,60 ; * ; 21,48 ; * ; 21,54 ; * ; 24,96 ; ** ; 25,17 ; ** ; 25,05 ; 24,60 ; ** ; 23,40 ; 20,39 ; ** ; 22,36 ; 19,49 ; ** ; 21,34 ; 18,60 ; ** ; 21,05 ; 18,33 ; ** ; 20,41 ; 17,76 ; ** ; 19,68 ; 17,15 ; ** ; 18,94 ; 16,52 ; ** ; 18,12 ; 16,64 ; ** ; 17,95 ; 15,95 ; ** ; 17,05 ; 15,68 ; ** ; 17,07 ; 15,43 ; ** 
 Total ; 23,39 ; * ; 22,96 ; * ; 22,59 ; * ; 22,26 ; * ; 21,97 ; * ; 21,76 ; * ; 22,21 ; *** ; 21,80 ; *** ; 21,86 ; 21,16 ; *** ; 21,23 ; 21,23 ; *** ; 20,12 ; 20,01 ; *** ; 19,46 ; 19,39 ; *** ; 18,83 ; 18,77 ; *** ; 18,48 ; 18,42 ; *** ; 17,73 ; 17,66 ; *** ; 17,08 ; 17,03 ; *** ; 16,56 ; 16,64 ; *** ; 16,39 ; 16,34 ; *** ; 15,98 ; 15,93 ; *** ; 15,78 ; 15,78 ; *** 
Fonte: Estimativa: IBGE/Contagem populacional e projeções demográficas preliminares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
          Dados Diretos: MS/SVS/DASIS/Sistema de Informações sobre nascidos vivos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Legenda:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*: Taxas estimadas pelo IBGE (dados indiretos);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
**: Taxas calculadas a partir dos dados diretos do Sinasc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
***: Combinação dos dados diretos e indiretos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
****: Estimadas com os dados informados ao SINASC corrigidos por fatores obtidos no processo de busca ativa realizado na Amazônia Legal e no Nordeste, no ano de 2008. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Para o cálculo da taxa padronizada de natalidade de 1999, foi considerada padrão a população Brasil 1996. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Para o cálculo da taxa padronizada de natalidade de 2000 a 2009, foi considerada padrão a população Brasil 2000.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
